,Title,IMDB id,Year,Rating,Genre,Top_cast
365,Ek Main Aur Ekk Tu,tt1703958,2012,5.8,"Comedy, Drama, Romance","Kareena Kapoor, Zenobia Shroff, Imran Khan  "
366,Hum Tumhare Hain Sanam,tt0222024,2002,5.4,"Comedy, Drama, Romance","Shah Rukh Khan, Madhuri Dixit, Salman Khan  "
367,Manorama: Six Feet Under,tt0920464,2007,7.5,"Crime, Drama, Mystery, Thriller","Abhay Deol, Gul Panag, Raima Sen  "
368,Ek Hasina Thi,tt0352314,2004,7.5,"Action, Crime, Drama, Mystery, Thrille","Saif Ali Khan, Urmila Matondkar, Seema Biswas  "
369,Hum Saath-Saath Hain,tt0216817,1999,6.3,"Drama, Musical","Mohnish Behl, Salman Khan, Saif Ali Khan  "
370,Viceroy's House,tt4977530,2017,6.7,"Biography, Drama, History, Romance","Hugh Bonneville, Gillian Anderson, Manish Dayal  "
371,Mission Kashmir,tt0248185,2000,6.6,"Action, Drama, Thriller","Sanjay Dutt, Hrithik Roshan, Preity G Zinta  "
372,Dishoom,tt3679060,2016,5.1,"Action, Adventure, Comedy","John Abraham, Varun Dhawan, Jacqueline Fernandez  "
373,Murder Mystery 2,tt15255288,2023,5.7,"Action, Comedy, Crime, Mystery, Romance"," Adam Sandler, Jennifer Aniston, Mark Strong  "
374,Finding Fanny,tt3142688,2014,5.7,"Adventure, Comedy, Drama, Romance","Deepika Padukone, Naseeruddin Shah, Basilo Dias  "
375,Awarapan,tt1020937,2007,7.4,"Action, Crime, Drama, Romance, Thriller","Emraan Hashmi, Mrinalini Sharma, Ashish Vidyarthi  "
376,Sui Dhaaga: Made in India,tt7147540,2018,6.8,"Comedy, Drama","Varun Dhawan, Anushka Sharma, Raghubir Yadav  "
377,Ship of Theseus,tt1773764,2012,8.0,Drama,"Aydah El-Kashef, Yogesh Shah, Faraz Khan  "
378,No Smoking,tt0995740,2007,7.3,"Drama, Horror, Mystery, Thriller","John Abraham, Ayesha Takia, Paresh Rawal  "
379,Matru Ki Bijlee Ka Mandola,tt2106537,2013,5.6,"Comedy, Drama","Anushka Sharma, Shabana Azmi, Imran Khan  "
380,Hulchul,tt0437238,2004,7.0,"Action, Comedy, Drama, Romance"," Akshaye Khanna, Kareena Kapoor, Amrish Puri  "
381,Bunty Aur Babli,tt0448206,2005,6.2,"Comedy, Crime, Drama, Romance"," Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan  "
382,Husband Material,tt5474036,2018,6.9,"Comedy, Drama, Romance","Taapsee Pannu, Abhishek Bachchan, Vicky Kaushal  "
383,Shuddh Desi Romance,tt2988272,2013,5.8,"Comedy, Drama, Romance","Sushant Singh Rajput, Parineeti Chopra, Vaani ...  "
384,Anjaana Anjaani,tt1499201,2010,5.7,"Comedy, Drama, Musical, Romance","Priyanka Chopra Jonas, Ranbir Kapoor, Pooja Kumar  "
385,Deewana,tt0126871,1992,6.7,"Action, Comedy, Drama, Musical, Romance","Rishi Kapoor, Divya Bharti, Shah Rukh Khan  "
386,Saajan,tt0102825,1991,7.2," Drama, Musical, Romance","Sanjay Dutt, Madhuri Dixit, Salman Khan  "
387,Dasvidaniya,tt1288638,2008,7.8,"Comedy, Drama","Vinay Pathak, Sarita Joshi, Rajat Kapoor  "
388,Baar Baar Dekho,tt5197544,2016,5.4,"Action, Comedy, Drama, Romance, Sci-Fi","Sidharth Malhotra, Katrina Kaif, Sayani Gupta  "
389,Lipstick Under My Burkha,tt4807830,2016,6.8,"Comedy, Drama","Aahana Kumra, Ratna Pathak Shah, Konkona Sen S...  "
390,Half Girlfriend,tt5474042,2017,4.6,"Drama, Romance  "," Vikrant Massey, Shraddha Kapoor, Arjun Kapoor  "
391,Batla House,tt8869978,2019,7.2,"Action, Crime, Drama, History, Thriller    ","Mrunal Thakur, Nora Fatehi, John Abraham  "
392,Mr. & Mrs. Khiladi,tt0162480,1997,6.3,"Comedy, Drama, Romance   ","Akshay Kumar, Juhi Chawla, Paresh Rawal  "
393,The Accidental Prime Minister,tt6986710,2019,6.0,"Biography, Drama ","Anupam Kher, Akshaye Khanna, Suzanne Bernert  "
394,Anjaam,tt10717738,2020,7.9,"Crime, Mystery, Thriller  "," Kunchacko Boban, Jinu Joseph, Unnimaya Prasad  "
395,The Tashkent Files,tt8108268,2019,8.1," Drama, Mystery, Thriller  ","Shweta Basu Prasad, Mithun Chakraborty, Naseer...  "
397,Satyameva Jayate,tt30972533,2018,5.7,"Action, Crime, Drama, Thriller  ","John Abraham, Manoj Bajpayee, Aisha Sharma  "
398,The Brawler,tt8202612,2019,4.8,"Biography, Crime, Drama, History, Romance, Sport    ","Zach McGowan, Amy Smart, Joe Pantoliano  "
399,Grand Masti,tt7180544,2013,4.5,"Comedy, Drama, Thriller   ","Vivek Oberoi, Riteish Deshmukh, Aftab Shivdasani  "
400,Masti,tt2476154,2004,6.2,"Comedy, Crime, Mystery, Thriller ","Ajay Devgn, Vivek Oberoi, Aftab Shivdasani  "
401,Stanley Ka Dabba,tt0406977,2011,7.8," Comedy, Drama, Family  ","Partho A. Gupte, Numaan Sheikh, Abhishek Reddy  "
402,Courage Under Fire,tt1907761,1996,6.6,"Action, Drama, Mystery, Thriller, War  ","Denzel Washington, Meg Ryan, Lou Diamond Phillips  "
403,De De Pyaar De,tt0115956,2019,6.5,"Comedy, Drama, Romance   ","Ajay Devgn, Tabu, Rakul Preet Singh  "
404,Khiladiyon Ka Khiladi,tt8647400,1996,6.0,"Action, Crime, Drama, Thriller  ","Akshay Kumar, Rekha, Raveena Tandon  "
405,Bluffmaster,tt0246729,2005,6.6,"Comedy, Crime, Drama, Romance, Thriller ","Abhishek Bachchan, Priyanka Chopra Jonas, Rite...  "
406,Mumbai Meri Jaan,tt0476527,2008,7.7,Drama  ,"Paresh Rawal, Kay Kay Menon, Irrfan Khan  "
407,Chamatkar,tt1266583,1992,6.5,"Comedy, Drama, Fantasy","['Naseeruddin ShahAmar Kumar alias Marco', 'Shah Rukh KhanSunder Srivastava', 'Urmila MatondkarMala Kumar(as Urmila)']"
408,Dor,tt0126234,2006,7.9,Drama,"['Ayesha TakiaMeera', 'Shreyas TalpadeBehroopiya', 'Gul PanagZeenat Fatima']"
409,Kis Kisko Pyaar Karoon,tt0824316,2015,5.6,"Comedy, Romance","['Kapil SharmaShiv Ram Kishan Kumar', 'Simran Kaur MundiSimran', 'Manjari FadnnisJuhi(as Manjari Fadnis)']"
410,Main Khiladi Tu Anari,tt4302956,1994,6.5,"Action, Comedy, Drama","['Akshay KumarPolice Inspector Karan Joglekar', 'Saif Ali KhanDeepak Kumar', 'Shilpa Shetty KundraMona(as Shilpa Shetty)â€¦']"
411,Hunterrr,tt0110438,2015,7.0,"Comedy, Romance","['Gulshan DevaiahMandar Ponkshe', 'Radhika ApteTripti', 'Sai TamhankarJyotsana Surve']"
412,Jannat: In Search of Heaven...,tt4333674,2008,6.9,"Crime, Drama, Romance","['Emraan HashmiArjun Dixit', 'Sonal ChauhanZoya', 'Swatantra Bharat']"
413,Welcome Back,tt1216300,2015,4.3,"Action, Comedy, Crime, Drama","John Abraham, Anil Kapoor, Nana patekar"
414,Bombay Velvet,tt3159708,2015,5.5,"Action, Crime, Drama","['Ranbir KapoorJohnny Balraj', 'Anushka SharmaRosie Noronha', 'Karan JoharKaizad Khambatta']"
415,Daawat-e-Ishq,tt2979920,2014,6.1,"Comedy, Drama, Romance","['Aditya Roy KapoorTariq(as Aditya Roy Kapur)', 'Parineeti ChopraGulrez', 'Anupam KherAbdul Qadir']"
416,All the Best: Fun Begins,tt3398052,2009,6.2,"Action, Comedy, Drama","['Sanjay DuttDharam Kapoor', 'Ajay DevgnPrem Chopra', 'Fardeen KhanVeer Kapoor']"
417,Action Replayy,tt1433905,2010,4.3,"Comedy, Romance, Sci-Fi","['Akshay KumarKishen Chopra', 'Aishwarya Rai BachchanMala Malhotraâ€¦', 'Aditya Roy KapoorBunty K. Chopra(as Aditya Roy Kapur)']"
418,7 Khoon Maaf,tt1396208,2011,6.3,"Comedy, Drama, Mystery","['Priyanka Chopra JonasSusanna Anna-Marie Johannes(as Priyanka Chopra)', 'Vivaan ShahArun Kumar', 'Neil Nitin MukeshMajor Edwin Rodriques (1st husband)']"
419,Mausam,tt1629376,2011,4.8,"Drama, Romance, War","Shahid Kapoor, Anupam Kher, Anupam Kher  "
420,Salaam-E-Ishq,tt1627924,2007,5.2,"Comedy, Drama, Romance, Musical","Salman Khan, Priyanka Chopra Jonas, Anil Kapoor"
421,Hum Hain Rahi Pyar Ke,tt0485272,1993,7.3,"Comedy, Drama, Romance","['Aamir KhanRahul Malhotra', 'Juhi ChawlaVaijanti Iyer', 'Sharokh BharuchaVicky(as Master Sharokh)']"
422,Bhavesh Joshi Superhero,tt 0107166,2018,7.6,"Action, Crime, Drama","['Harshvardhan KapoorSikander Khanna (Sikku)', 'Priyanshu PainyuliBhavesh Joshi', 'Ashish VermaRajat']"
423,Gangster,tt6129302,2007,7.8,"Biography, Crime, Drama","['Denzel WashingtonFrank Lucas', 'Russell CroweRichie Roberts', 'Chiwetel EjioforHuey Lucas']"
424,"LSD: Love, Sex Aur Dhokha",tt0765429,2010,7.2,"Comedy, Crime, Drama","['Nushrratt BharucchaShruti Dahiya(as Nushrat Bharucha)', 'Anshuman JhaRahul Kumar', 'Neha ChauhanRashmi']"
425,Kismat Konnection,tt1608777,2008,5.3,"Comedy, Drama, Romance","['Shahid KapoorRaj Malhotra', 'Vidya BalanPriya', 'Vishal MalhotraHiten Patel']"
426,Malamaal Weekly,tt1105733,2006,7.0,"Comedy, Drama, Romance","[""Paresh RawalLilaram 'Lila'"", ""Om PuriBalwant 'Balu'"", ""Riteish DeshmukhKanhaiya - Chokhey's son(as Ritesh Deshmukh)""]"
427,Azhar,tt 0476805,2016,5.7,"Biography, Drama, Sport","['Emraan HashmiMohammad Azharuddin', 'Nargis FakhriSangeeta Bijlani', 'Prachi DesaiNaureen']"
428,Aligarh,tt4906984,2015,7.8,"Biography, Drama","['Manoj BajpayeeProfessor Ramchandra Siras', 'Rajkummar RaoDeepu Sebastian', 'Ashish VidyarthiAdvocate Anand Grover']"
429,Sangharsh,tt5121000,1999,6.7,"Action, Drama, Crime, Horror, Thriller","Preity G Zinta, Akshay Kumar, Ashutosh Rana"
430,Total Dhamaal,tt111068,2019,4.2,"Action, Adventure, Comedy","['Ajay DevgnGuddu', 'Anil KapoorAvinash Patel', 'Madhuri DixitBindu Patel']"
431,Naam Shabana,tt7639372,2017,6.2,"Action, Drama, Thriller","['Taapsee PannuShabana Khan', 'Akshay KumarAjay Singh Rajput', 'Manoj BajpayeeRanvir Singh']"
432,Hamari Adhuri Kahani,tt6170954,2015,6.7,"Drama, Romance","['Emraan HashmiAarav Ruparel', 'Vidya BalanVasudha', 'Rajkummar RaoHari Prasad(as Raj Kumar Yadav)']"
433,Thirst,tt3483612,2009,7.1,"Drama, Fantasy, Horror","['Song Kang-hoSang-hyun', 'Kim Ok-binTae-ju(as Kim Ok-vin)', 'Choi Hee-jinNurse Sa(as Hee-jin Choi)']"
434,Any Body Can Dance 2,tt0762073,2015,5.4,"Biography, Drama, Music","['Prabhu DevaVishnu(as Prabhudheva)', 'Varun DhawanSuresh', 'Shraddha KapoorVinnie']"
435,Thank You,tt3679000,2005,7.5,"Comedy, Drama","['Aaron EckhartNick Naylor', 'Cameron BrightJoey Naylor', 'Maria BelloPolly Bailey']"
436,Joker,tt0427944,2002,2.4,"Comedy, Family, Sci-Fi, Thriller","Akshay Kumar, Sonakshi Sinha, Shreyas Talpade"
437,Qarib Qarib Single,tt7286456,2017,7.1,"Comedy, Romance","Irrfan Khan, Parvathy Thiruvothu, Neha Dhupia"
438,Ghayal Once Again,tt7399470,2016,6.2,"Action, Crime, Drama","['Sunny DeolAjay Mehra', 'Soha Ali KhanRhea', ""Om PuriACP Joe D'Souza""]"
439,Chashme Baddoor,tt4683366,2013,5.4,"Comedy, Drama","['Ali ZafarSid', 'SiddharthJai', 'Divyendu SharmaOmi']"
440,Ferrari Ki Sawaari,tt2229848,2012,6.4,"Comedy, Drama, Family","[""Sharman JoshiRustam 'Rusy' Behram Deboo"", 'Boman IraniBehram Deboo', ""Ritvik SahoreKayoze 'Kayo' Rustam Deboo""]"
441,Judwaa,tt2122340,2017,3.6,"Action, Comedy","['Varun DhawanRajaâ€¦', 'Jacqueline FernandezAlishka', 'Taapsee PannuSamaara']"
442,Phas Gaye Re Obama,tt5456546,2010,7.5,"Comedy, Crime, Drama","['Rajat KapoorOm Shastri', 'Neha DhupiaMunni Madame', 'Sanjay MishraBhai Sahab']"
443,Taal,tt1773015,1999,6.6,"Drama, Musical, Romance","['Akshaye KhannaManav Mehta', 'Anil KapoorVikrant Kapoor', 'Aishwarya Rai BachchanMansi(as Aishwarya Rai)']"
444,Happy Bhaag Jayegi,tt0152836,2016,6.4,"Comedy, Romance","['Diana PentyHappy', 'Abhay DeolBilal Ahmed', 'Jimmy ShergillDaman Singh Bagga']"
445,Aarakshan,tt5472758,2011,6.2,"Drama, Thriller","['Amitabh BachchanPrabhakar Anand', 'Saif Ali KhanDeepak Kumar', 'Manoj BajpayeeMithilesh Singh(as Manoj Bajpai)']"
446,Satyagraha,tt1848771,2013,5.9,Drama,"['Amitabh BachchanDwarka Anand', 'Ajay DevgnManav Raghvendra', 'Manoj BajpayeeBalram Singh(as Manoj Bajpai)']"
447,Mujhse Dosti Karoge!,tt2275802,2002,5.1,"Comedy, Drama, Family","['Hrithik RoshanRaj Khanna', 'Kareena KapoorTina Kapoor', 'Rani MukerjiPooja Sahani']"
448,Cheeni Kum,tt0272736,2007,6.8,"Comedy, Drama, Romance","['Amitabh BachchanBuddhadev Gupta', 'TabuNina Verma', 'Paresh RawalVerma']"
449,Tashan,tt0976026,2008,3.8,"Action, Comedy, Drama","['Akshay KumarBachchan Pandey(as The Akshay Kumar)', ""Saif Ali KhanJeetendra 'Jimmy Cliff' Kumar Makwana(as The Saif Ali Khan)"", ""Kareena KapoorPooja 'Guddiya' Singh(as The Kareena Kapoor)""]"
450,Bombay Talkies,tt0995752,2013,6.6,Drama,"['Rani MukerjiGayatri', 'Randeep HoodaDev', 'Saqib SaleemAvinash']"
451,Housefull 4,tt2797242,2019,3.5,"Action, Comedy, Drama, Romance, Fantasy","Akshay Kumar, Booby Deol, Kriti Sanon"
452,Do Dooni Chaar,tt7721946,2010,7.5,"Comedy, Crime, Drama","['Rishi KapoorSantosh Duggal', 'Neetu SinghKusum Duggal', 'Aditi VasudevPayal Duggal']"
453,Dil,tt1714832,1998,7.5,"Drama, Romance","['Shah Rukh KhanAmarkanth Varma', 'Manisha KoiralaMeghna', 'Preity G ZintaPreeti Nair(as Preity Zinta)']"
454,Nil Battey Sannata,tt0164538,2015,8.2,"Drama, Family","['Swara BhaskerChanda Sahay(as Swara Bhaskar)', 'Riya ShuklaApeksha Sahayâ€¦', 'Ratna Pathak ShahDr. Diwan']"
455,One 2 Ka 4,tt5005684,2001,5.5,"Action, Crime, Drama","['Shah Rukh KhanArun Verma', 'Jackie ShroffJaved Abbas', 'Juhi ChawlaGeeta Choudhary']"
456,PM Narendra Modi,tt0227194,2019,3.0,"Biography, Drama","['Vivek OberoiNarendra Modi', 'Barkha BishtJashodaben', 'Boman IraniRatan Tata']"
457,Bhoothnath Returns,tt9558612,2014,6.5,"Comedy, Drama, Fantasy","['Amitabh BachchanBhoothnath', 'Boman IraniBhau', 'Parth BhaleraoAkhrot(as Parth Shashank Balerao)']"
458,The 12th Man,tt3531852,2017,7.3,"Drama, History, Thriller","['Thomas GullestadJan Baalsrud', 'Jonathan Rhys MeyersKurt Stage', 'Marie BlokhusGudrun GrÃ¸nvoll']"
459,Ghanchakkar,tt3300980,2013,5.9,"Comedy, Crime, Thriller","['Emraan HashmiSanjay Atre (Mr. Ghanchakkar)', 'Vidya BalanNeetu Atre (Mrs. Ghanchakkar)', 'Vikram Kochhar']"
460,Kaal,tt2246724,2005,4.7,"Adventure, Horror, Mystery","['Ajay DevgnKaali Pratap Singh', 'Vivek OberoiDev Malhotra', 'John AbrahamKrish Thapar']"
461,Hazaaron Khwaishein Aisi,tt0415908,2003,7.9,Drama,"['Kay Kay MenonSiddharth Tyabji', 'Shiney AhujaVikram Malhotra', 'Chitrangda SinghGeeta Rao']"
462,An Officer and a Gentleman,tt0411469,1982,7.0,"Drama, Romance","['Richard GereZack Mayo', 'Debra WingerPaula Pokrifki', 'David KeithSid Worley']"
463,Shaandaar,tt0084434,2015,3.6,"Comedy, Drama, Romance","['Shahid KapoorJagjinder Joginder', 'Alia BhattAlia Arora', 'Pankaj KapurBipin Arora']"
464,Kurbaan,tt4007558,1991,4.2,"Action, Drama, Romance","Sunil Dutt, Kabir Bedi, Salman Khan"
465,Angoor,tt1185442,2023,6.7,"Drama, Romance","['Manoj Ahuja', 'Ajay Bafna', 'Bharti Jha']"
466,Ek Chalis Ki Last Local,tt26940754,2007,7.3,"Adventure, Comedy, Crime","['Abhay DeolNilesh Rastogi', 'Neha DhupiaMadhuâ€¦', 'Amit MistryPatrick']"
467,The Power of Shakti,tt0995718,2002,6.1,"Action, Drama, Thriller","Karisma Kapoor, Nana Patekar, Sanjay Kapoor"
468,Biwi No. 1,tt7631058,1999,5.7,"Comedy, Drama, Romance","['Karisma KapoorPooja Mehra', 'Salman KhanPrem Mehra', 'Anil KapoorLakhan']"
469,Parched,tt0207341,2015,7.5,Drama,"['Tannishtha ChatterjeeRani', 'Radhika ApteLajjo', 'Surveen ChawlaBijli']"
470,Mera Naam Joker,tt3043252,1970,7.9,"Comedy, Drama","[""Raj KapoorRaj 'Raju' Ranbir"", 'Manoj KumarDavid', 'Simi GarewalMary']"
471,Akele Hum Akele Tum,tt0066070,1995,6.9,"Drama, Romance","['Aamir KhanRohit Kumar', 'Manisha KoiralaKiran Kumar', ""Master AdilSunil Kumar 'Sonu'""]"
472,Kaante,tt0112313,2002,6.6,"Action, Crime, Drama","[""Amitabh BachchanYashvardhan 'Major' Rampal"", ""Sanjay DuttJay 'Ajju' Rehan"", 'Suniel ShettyMarc Issak(as Sunil Shetty)']"
473,Mere Dad Ki Maruti,tt0294662,2013,6.4,"Comedy, Drama, Romance","Saqib Saleem, Rhea Chakraborty, Ram Kapoor"
474,Dhol,tt2323964,2007,6.5,"Comedy, Crime, Mystery","[""Sharman JoshiPankaj 'Pakya' Tiwari"", ""Tusshar KapoorSameer 'Sam' Arya"", 'Kunal KemmuGautam Sesodia(as Kunal Khemu)']"
475,Maine Pyaar Kyun Kiya,tt0995035,2005,5.6,"Comedy, Drama, Romance","['Salman KhanDr. Samir Malhotra', 'Sushmita SenNaina', 'Katrina KaifSonia']"
476,Blue,tt0451803,2009,3.8,"Action, Adventure, Mystery, Thriller","Akshay Kumar, Sanjay Dutt, Lara Dutt"
477,Gupt: The Hidden Truth,tt1595859,1997,7.3,"Action, Crime, Mystery","['Bobby DeolSahil Sinha', 'Manisha KoiralaSheetal Choudhry', 'KajolIsha Diwan']"
478,Batti Gul Meter Chalu,tt0119239,2018,5.9,Drama,"Shahid Kapoor, Shraddha Kapoor, Divyendu Sharma"
479,Yeh Dillagi,tt7720922,1994,5.9,"Comedy, Drama, Musical","['KajolSapna', 'Akshay KumarVijay Saigal', ""Saif Ali KhanVikram 'Vicky' Saigal""]"
480,CityLights,tt0111793,2014,7.3,"Drama, Thriller","['Rajkummar RaoDeepak Singh', 'Patralekhaa PaulRakhee(as Patralekhaa)', ""Manav KaulVishnu- Deepak's workmate""]"
481,Sabse Bada Khiladi,tt3709344,1995,5.9,"Action, Crime, Thriller","Akshay Kumar, Mamta Kulkarni, Mohnish Behl"
482,Deewane Huye Paagal,tt0114317,2005,5.5,"Action, Comedy, Drama","['Shahid KapoorKaran', 'Akshay KumarRocky Hiranandani', 'Suniel ShettySanju Malwani(as Sunil Shetty)']"
483,Fukrey Returns,tt0444781,2017,6.5,Comedy,"['Pulkit SamratHunny', 'Varun SharmaChoocha', 'Ali FazalZafar']"
484,Dream Girl,tt6712014,2019,7.0,"Comedy, Romance","['Ayushmann KhurranaKaramveer Singh', 'Nushrratt BharucchaMahi(as Nushrat Bharucha)', 'Annu KapoorJagjeet Singh']"
485,Bandit Queen,tt9248940,1994,7.5,"Action, Biography, Crime","['Seema BiswasPhoolan Devi', 'Nirmal PandeyVikram Mallah(as Nirmal Panday)', 'Rajesh VivekMustaquim']"
486,Tumhari Sulu,tt0109206,2017,7.0,"Comrdy, Drama","Vidya Balan, Manav Kaul, Neha Dhupia"
487,Fitoor,tt6791730,2016,5.4,"Drama, Romance","['Aditya Roy KapoorNoor', 'Katrina KaifFirdaus', 'TabuBegum']"
488,Mard Ko Dard Nahin Hota,tt4399594,2018,7.3,"Action, Comedy, Drama","['Abhimanyu DasaniSurya', 'Radhika MadanSupri', ""Mahesh ManjrekarSurya's Grandpaâ€¦""]"
489,Phata Poster Nikhla Hero,tt8055888,2013,4.9,"Action, Comedy, Crime","['Shahid KapoorVishwas Rao', ""Ileana D'CruzKajal"", 'Padmini KolhapureSavitri']"
490,Rahasya,tt2615584,2015,7.6,"Mystery, Thriller","['Kay Kay MenonSunil Paraskar', 'Ashish VidyarthiSachin Mahajan', 'Tisca ChopraAarti Mahajan']"
491,Commando,tt3337550,1985,6.7,"Action, Adventure, Thriller","['Arnold SchwarzeneggerMatrix', 'Rae Dawn ChongCindy', 'Dan HedayaArius']"
492,Main Prem Ki Diwani Hoon,tt0088944,2003,3.8,"Comedy, Drama, Musical","['Hrithik RoshanPrem Kishen Mathur', 'Kareena KapoorSanjana', 'Abhishek BachchanPrem Kumar']"
493,Chori Chori Chupke Chupke,tt0265148,2001,5.5,"Comedy, Drama, Musical, Romance","Salman Khan, Rani Mukerji, Preity G Zinta"
494,London Dreams,tt15374748,2009,5.4,"Drama, Music","[""Salman KhanManjeet 'Mannu' Khosla"", 'Ajay DevgnArjun', 'Om PuriMr. Khosla']"
495,Kyaa Kool Hain Hum 3,tt0486615,2016,1.9,Comedy,"['Tusshar KapoorKanhaiya', 'Aftab ShivdasaniRocky', 'Krushna AbhishekMickey(as Krushna)']"
496,Raavan,tt5290620,2010,5.4,"Action, Adventure, Drama","['Abhishek BachchanBeera Munda', 'Aishwarya Rai BachchanRagini', 'GovindaSanjeevani Kumar']"
497,Nautanki Saala!,tt1334470,2013,5.8,"Comedy, Drama, Romance","['Ayushmann KhurranaRP aka Ram Parmar', 'Kunaal Roy KapurMandar Lele', 'Pooja SalviNandini Patel']"
498,36 China Town,tt2341766,2006,5.7,"Comedy, Mystery, Thriller","['Akshaye KhannaChief Police Inspector Karan', 'Shahid KapoorRaj Malhotra', 'Kareena KapoorPriya']"
499,Baazaar,tt0477252,2005,7.4,"Action, Crime, Drama","['Ajay DevgnAjay Shastri', 'Nana PatekarTabrez Alam', 'Bipasha BasuMegha Basu']"
500,Apaharan,tt6514196,2005,7.4,"Action, Crime, Drama","Ajay Devgn, Nana Patekar, Bipasha Basu"
501,Ta Ra Rum Pum,tt0451631,2012,5.9,"Comedy, Drama, Romance","['Riteish DeshmukhViren(as Ritesh Deshmukh)', ""Genelia DeshmukhMini(as Genelia D'Souza)"", 'Om PuriChaudhari']"
502,Tere Naal Love Ho Gaya,tt0833553,2000,3.7,"Action, Adventure, Comedy","['Aamir KhanKishan Pyare', 'Twinkle KhannaRoopa Singh', 'Faisal KhanShankar Shane']"
503,Mela,tt2130242,2016,7.3,"Biography, Drama","['Randeep HoodaSarabjit Singh', 'Aishwarya Rai BachchanDalbir Kaur', 'Richa ChadhaSukhpreet Kaur']"
504,Sarbjit,tt0232079,2016,7.3,"Biography, Drama","Randeep Hooda, AIshwarya Rai, Richa Chadha"
505,Har Dil Jo Pyar Karega...,tt5120640,2012,5.0,Drama,"['Kareena KapoorMahi Arora', 'Arjun RampalAryan Khanna', 'Randeep HoodaAngad Paul']"
506,Heroine,tt0250415,1998,6.6,"Action, Comedy, Drama","['Salman KhanSuraj Khanna', 'KajolMuskaan Thakur', 'Arbaaz KhanVishal Thakur']"
507,Pyaar Kiya To Darna Kya,tt1949548,2016,7.8,"Comedy, Crime, Drama","['Randeep HoodaShankar Singh Malik', 'Akshay OberoiRajesh Dhiman', 'Rajneesh DuggalGajraj Singh']"
508,Laal Rang,tt0173080,2011,5.7,"Action, Comedy, Drama","['Nafisa AliMrs. Dhillon', ""Yugesh AnilGurmeet's Friend"", 'Madhuri BhattacharyaItem Girl']"
509,Yamla Pagla Deewana,tt5600714,2011,5.7,"Action, Comedy, Drama","Nafisa Ali, Yugesh Anil, Madhuri Bhattacharya"
510,Break Ke Baad,tt1773109,2018,4.4,"Action, Crime, Drama","['Sanjay DuttUday Pratap Singh', 'Jimmy ShergillAditya Pratap Singh', 'Mahie GillMadhvi Devi']"
511,Saheb Biwi Aur Gangster 3,tt1578261,2006,5.2,"Drama, Romance","['Akshay KumarAditya Malhotra', 'Katrina KaifJia A. Yashvardhan', 'Bipasha BasuSonia Berry']"
512,Humko Deewana Kar Gaye,tt7695014,2006,5.2,"Drama, Romance","['Akshay KumarAditya Malhotra', 'Katrina KaifJia A. Yashvardhan', 'Bipasha BasuSonia Berry']"
513,Mujhse Fraaandship Karoge,tt0444840,2011,6.9,"Comedy, Drama, Romance","['Saqib SaleemVishal Bhatt', 'Saba AzadPreity Sen(as Saba Azaad)', 'Nishant DahiyaRahul Sareen']"
514,Yuvvraaj,tt2057441,2008,4.1,"Comedy, Drama, Musical","['Salman KhanDeven Y. Yuvvraaj Singh', 'Anil KapoorGyanesh Yuvvraaj', 'Zayed KhanDanny Y. Yuvvraaj Singh']"
515,Titli,tt1105747,2014,7.5,"Action, Crime, Drama","['Shashank AroraTitli', 'Ranvir ShoreyVikram', 'Shivani RaghuvanshiNeelu']"
516,Aurangzeb,tt3019620,2013,6.4,"Action, Drama, Thriller","Arjun Kapoor, Zaharh S Khan, Prithiviraj Sukumaran"
517,Teri Meri Kahaani,tt2804026,2012,4.9,"Comedy, Drama, Romance","Shahid Kapoor, Priyanka Chopra, Prachi Desai"
518,Raja Natwarlal,tt2354407,2014,6.2,"Crime, Thriller","['Emraan HashmiRaja', 'Humaima MalikZiya', 'Paresh RawalYogi']"
519,Dum Maaro Dum,tt3483712,2011,6.2,"Action, Crime, Drama","['Abhishek BachchanACP Vishnu Kamath', ""Deepika PadukoneDancer in the song 'Dum Maaro Dum'"", 'Bipasha BasuZoe Mendonza']"
520,Ishq Vishk,tt1618430,2003,6.1,"Comedy, Romance","['Shahid KapoorRajiv Mathur(as Shahid)', 'Amrita RaoPayal(as Amrita)', 'Shenaz TreasuryAlisha Sahay(as Shenaz)']"
521,Kill Dil,tt0362771,2014,4.5,"Action, Comedy, Drama","['Ranveer SinghDev', 'Ali ZafarTutu', 'Parineeti ChopraDisha']"
522,Raincoat,tt3380264,2004,7.7,"Drama, Romance","[""Ajay DevgnManoj 'Mannu'"", ""Aishwarya Rai BachchanNeerja 'Neeru'(as Aishwarya Rai)"", 'Annu KapoorLandlord']"
523,Ek Thi Daayan,tt0405266,2013,5.7,"Horror, Romance, Thriller","['Emraan HashmiBobo', 'Konkona Sen SharmaDiana', 'Kalki KoechlinLisa Dutt']"
524,Dil Hai Ki Manta Nahin,tt2406676,1991,7.2,"Adventure, Comedy, Drama","['Aamir KhanRaghu Jetley', 'Pooja BhattPooja Dharamchand', 'Anupam KherSeth Dharamchand']"
525,Players,tt0101733,2024,5.6,"Comedy, Romance","['Gina RodriguezMack', 'Damon Wayans Jr.Adam', 'Tom EllisNick']"
526,Shaadi Ke Side Effects,tt14833464,2014,5.6,"Comedy, Romance","['Farhan AkhtarSid', 'Vidya BalanTrisha', 'Vir DasManav']"
