,Title,IMDB id,Year,Rating,Genre,Top_cast
213,Yes Boss,tt0120540,1997,6.7,"Comedy, Drama, Musical, Romance","Shah Rukh Khan, Juhi Chawla, Aditya Pancholi  "
214,Mumbai Diaries,tt12714854,2021,8.6,"Drama, Thriller","Mohit Raina, Konkona Sen Sharma, Tina Desai  "
215,Chachi 420,tt0233422,1997,7.4,"Comedy, Drama, Family, Romance","Kamal Haasan, Amrish Puri, Om Puri  "
216,Kites,tt1198101,2010,6.0,"Action, Drama, Romance, Thriller","Hrithik Roshan, Bárbara Mori, Nicholas Brown  "
217,Housefull,tt1573072,2010,5.5,"Comedy, Drama"," Kriti Sanon, Akshay Kumar, Mithun Chakraborty  "
218,Dhamaal,tt0845448,2007,7.5,"Action, Adventure, Comedy","Sanjay Dutt, Riteish Deshmukh, Arshad Warsi  "
219,Vaastav: The Reality,tt0220832,1999,8.0,"Action, Crime, Drama, Thriller","Sanjay Dutt, Namrata Shirodkar, Reema Lagoo  "
220,Aankhen,tt0106204,2002,7.4,"Crime, Drama, Thriller ","Amitabh Bachchan, Akshay Kumar, Sushmita Sen  "
221,Madaari,tt5713232,2016,7.6,"Drama, Thriller","Irrfan Khan, Jimmy Shergill, Vishesh Bansal  "
222,Hungama,tt0371735,2003,7.6,"Comedy, Drama, Romance","Akshaye Khanna, Aftab Shivdasani, Rimi Sen  "
223,NH 10,tt3742284,2015,7.2,"Action, Crime, Drama, Horror, Thriller","Anushka Sharma, Neil Bhoopalam, Darshan Kumaar  "
224,Psycho Raman,tt5662932,2016,7.3,"Crime, Drama, Thriller","Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dh...  "
225,Ajab Prem Ki Ghazab Kahani,tt1252596,2009,6.4,"Action, Comedy, Musical, Romance"," Ranbir Kapoor, Katrina Kaif, Darshan Jariwala  "
226,Peepli [Live],tt1447508,2010,7.4,"Comedy, Drama","Onkar Das Manikpuri, Raghubir Yadav, Shalini V...  "
227,October,tt0099810,1999,7.8,"Biography, Drama, Family","Jake Gyllenhaal, Chris Cooper, Laura Dern "
228,MSG: The Messenger of God,tt4107858,2015,6.0," Action, Comedy, Drama, Fantasy","Gurmeet Ram Rahim Singh, Daniel Kaleb, Flora S...  "
229,Fashion,tt0964516,2008,6.9,"Drama, Romance","Priyanka Chopra Jonas, Kangana Ranaut, Mugdha ...  "
230,Brothers,tt0185906,2009,7.1,"Drama, Thriller, War","Tobey Maguire, Jake Gyllenhaal, Natalie Portman  "
231,Paa,tt1532957,2009,7.1,"Comedy, Drama ","Amitabh Bachchan, Abhishek Bachchan, Vidya Balan  "
232,Kesari,tt6264938,2019,7.4,"Action, Drama, History, Thriller, War","Akshay Kumar, Parineeti Chopra, Suvinder Vicky"
233,Roja,tt0105271,1992,8.1,"Drama, Romance, Thirller","Arvind Sami, Madhoo, Pankaj Kapur, Nassar"
234,Johnny Gaddaar,tt1077248,2007,7.9,"Crime, Drama, Mystery, Thriller","Dharmendra, Rimi Sen, Ashwini Kalsekar  "
235,Go Goa Gone,tt2436516,2013,6.6,"Action, Adventure, Comedy, Horror, Sci-Fi","Saif Ali Khan, Kunal Kemmu, Vir Das  "
236,Irudhi Suttru,tt5310090,2016,7.6,"Action, Drama, Sport","Madhavan, Ritika Singh, Nassar  "
237,Hey Ram,tt0222012,2000,7.9,"Crime, Drama, History","Kamal Haasan, Shah Rukh Khan, Rani Mukerji"
238,Bheja Fry,tt1014672,2007,7.6,"Comedy, Drama ","Vinay Pathak, Rajat Kapoor, Sarika Thakur  "
239,Te3n,tt4814290,2016,7.2,"Crime, Drama, Mystery, Thriller","Amitabh Bachchan, Nawazuddin Siddiqui, Vidya B...  "
240,Tees Maar Khan,tt1572311,2010,2.7,"Comedy, Crime","Akshay Kumar, Katrina Kaif, Akshaye Khanna  "
241,Chupke Chupke,tt0072783,1975,8.3,"Comedy, Drama, Romance","Dharmendra, Sharmila Tagore, Amitabh Bhachchan"
242,Table No. 21,tt2229842,2013,7.2,"Adventure, Drama, Thriller","Paresh Rawal, Rajeev Khandelwal, Tina Desai  "
243,Ghulam,tt0190419,1998,7.2,"Action, Crime, Drama, Romance, Thriller ","Aamir Khan, Rani Mukerji, Rajit Kapoor"
244,Shaadi Mein Zaroor Aana,tt7469726,2017,7.5,"Drama, Romance","Rajkummar Rao, Kriti Kharbanda, K.K. Raina  "
245,The Ghazi Attack,tt6299040,2017,7.5,"Action, Thriller, War","Rana Daggubati, Kay Kay Menon, Atul Kulkarni"
246,Partner,tt0807758,2007,5.8,"Comedy, Drama, Romance","Salman Khan, Govinda, Lara Dutta, Katrina Kaif"
247,Don,tt0461936,2006,7.1,"Action, Crime, Thriller","Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal"
248,No One Killed Jessica,tt1734110,2011,7.2,"Biography, Crime, Drama, Thriller ","Rani Mukerji, Vidya Balan, Myra Karn  "
249,Maine Pyar Kiya,tt0100095,1989,7.3,"Drama, Musical, Romance    ","Salman Khan, Bhagyashree Patwardhan, Alok Nath  "
250,Gold,tt1800302,2016,6.7,"Biography, Crime, Drama, Mystery     ","Matthew McConaughey, Edgar Ramírez, Bryce Dall...  "
251,Humpty Sharma Ki Dulhania,tt3678938,2014,6.0,"Comedy, Drama, Romance  ","Varun Dhawan, Alia Bhatt, Ashutosh Rana  "
252,Life in a Metro,tt0800956,2007,7.4,"Comedy, Drama, Musical, Romance   ","Dharmendra, Gautam Kapur, Irrfan Khan  "
253,Tere Bin Laden,tt1629391,2010,7.2,"Comedy, Drama ","Ali Zafar, Pradhuman Singh, Piyush Mishra  "
254,No Entry,tt0451833,2005,6.6,"Comedy, Drama, Musical, Romance  ","Salman Khan, Anil Kapoor, Fardeen Khan  "
255,Mohenjo Daro,tt3859980,2016,5.6,"Action, Adventure, Drama, History","Hrithik Roshan, Pooja Hegde, Kabir Bedi  "
